,index,0
0,重启之极海听雷超话,3469
1,朱一龙超话,3319
2,电视剧叛逆者超话,2797
3,电视剧亲爱的自己超话,2731
4,给朱一龙最强应援超话,2416
5,朱一龙盗墓笔记重启超话,2342
6,朱一龙吴邪超话,2232
7,朱一龙陈一鸣超话,2083
8,每日一善超话,1846
9,朱一龙温柔的力量超话,1787
10,朱一龙亲爱的自己超话,1646
11,电视剧锦绣南歌超话,1250
12,肖战超话,1205
13,朱一龙林楠笙超话,1194
14,朱一龙齐衡超话,1194
15,朱一龙善举的力量超话,1165
16,朱一龙叛逆者超话,1161
17,王一博超话,1064
18,朱一龙井然超话,1055
19,易烊千玺超话,1032
20,李沁超话,1020
21,迪丽热巴超话,900
22,电视剧超话,818
23,周杰伦超话,799
24,剧版亲爱的自己超话,780
25,朱一龙罗浮生超话,761
26,传闻中的陈芊芊超话,752
27,赵丽颖超话,744
28,任嘉伦超话,731
29,乘风破浪的姐姐超话,707
30,养桔防老超话,700
31,朱一龙许你浮生若梦超话,673
32,朱一龙沈巍超话,670
33,关晓彤超话,665
34,电视剧暮白首超话,648
35,二十不惑超话,641
36,丁禹兮超话,629
37,罗云熙超话,600
38,陈情令超话,599
39,剧版盗墓笔记重启超话,588
40,锦衣之下超话,581
41,李现超话,579
42,清平乐超话,564
43,鹿晗超话,557
44,赵露思超话,535
45,杨幂超话,533
46,电视剧月上重火超话,525
47,电视剧怪你过分美丽超话,524
48,郑爽超话,518
49,杨紫超话,518
50,王俊凯超话,516
51,邓伦超话,504
52,杨洋超话,497
53,狼殿下超话,495
54,蔡徐坤超话,493
55,正能量偶像朱一龙超话,489
56,隐秘的角落超话,476
57,张艺兴超话,469
58,电视剧幸福触手可及超话,458
59,虞书欣超话,438
60,谭松韵超话,423
61,电视剧二十不惑超话,423
62,朱一龙知否知否应是绿肥红瘦超话,419
63,朱一龙我的真朋友超话,416
64,吴亦凡超话,412
65,李易峰超话,409
66,张新成超话,409
67,王源超话,399
68,电视剧亲爱的戎装超话,396
69,朱一龙粉丝减肥超话,380
70,幸福触手可及超话,376
71,鞠婧祎超话,375
72,华晨宇超话,365
73,吴磊超话,362
74,博君一肖超话,359
75,朱一龙并肩前行超话,358
76,黄景瑜超话,356
77,the9超话,355
78,胡歌超话,354
79,日行一善超话,352
80,能量偶像朱一龙超话,347
81,电视剧冰糖炖雪梨超话,343
82,祖国反黑站超话,339
83,你是我的命中注定超话,338
84,许你浮生若梦朱一龙超话,330
85,电视剧余生请多指教超话,321
86,创造营2020超话,320
87,陈伟霆超话,318
88,张若昀超话,314
89,秦昊超话,312
90,江疏影超话,312
91,阳光信用超话,311
92,许凯超话,298
93,万茜超话,293
94,笼包姐姐正能量学习区超话,293
95,白敬亭超话,290
96,朱一龙让我成为更好的人超话,290
97,娱乐超话,289
98,唐嫣超话,287
99,宋茜超话,285
100,王凯超话,280
101,白宇超话,277
102,电视剧蜗牛与黄鹂鸟超话,276
103,韩剧虽然是精神病但没关系超话,273
104,盗墓笔记超话,272
105,朱一龙未来可期超话,270
106,studyaccount超话,268
107,徐艺洋超话,267
108,刘亦菲超话,267
109,吴宣仪超话,267
110,亲爱的热爱的超话,260
111,杨超越超话,256
112,秦岚超话,254
113,许你浮生若梦超话,253
114,剧版镇魂超话,252
115,朱一龙幻乐之城超话,252
116,喻言超话,250
117,黄子韬超话,250
118,胡一天超话,249
119,刘诗诗超话,248
120,周冬雨超话,248
121,刘雨昕超话,248
122,刘昊然超话,247
123,朱一龙傅红雪超话,246
124,知否知否应是绿肥红瘦超话,245
125,三十而已超话,245
126,高伟光超话,245
127,电视剧鬓边不是海棠红超话,242
128,中国超话,241
129,电视剧长歌行超话,239
130,剧综宝典超话,234
131,甄嬛传超话,233
132,张杰超话,230
133,电视剧秋蝉超话,229
134,电视剧庆余年超话,223
135,名侦探柯南超话,223
136,电视剧安家超话,222
137,BLACKPINK超话,217
138,电视剧有翡超话,216
139,下一站是幸福超话,216
140,河神2超话,213
141,电视剧小娘惹超话,213
142,如懿传超话,213
143,范丞丞超话,212
144,赵小棠超话,211
145,民初奇人传超话,210
146,三千鸦杀电视剧超话,210
147,孟美岐超话,210
148,佳期如梦之海上繁花超话,209
149,张雨绮超话,209
150,许佳琪超话,206
151,angelababy超话,205
152,民国奇探超话,201
153,给朱一龙拍风景超话,201
154,电视剧韫色过浓超话,198
155,金秀贤超话,195
156,剧版三生三世枕上书超话,194
157,摩登兄弟超话,193
158,高以翔超话,193
159,请回答1988超话,191
160,李庚希超话,189
161,孔雪儿超话,189
162,徐正溪超话,189
163,电视剧局中人超话,187
164,周深超话,187
165,孙俪超话,186
166,曾可妮超话,185
167,LISA超话,181
168,熊猫守护者超话,180
169,朱一龙益路前行超话,177
170,王嘉尔超话,177
171,盗墓笔记重启超话,177
172,朱一龙夜尊超话,176
173,延禧攻略超话,175
174,陈立农超话,175
175,罗晋超话,175
176,全是妈粉超话,174
177,怪你过分美丽超话,173
178,希林娜依高超话,172
179,守护全世界最人美心善的面面超话,172
180,最好的朱一龙超话,172
181,佟丽娅超话,171
182,张予曦超话,171
183,张一山超话,171
184,天舞纪超话,170
185,尹正超话,170
186,黄明昊超话,170
187,金子涵超话,170
188,火箭少女101超话,169
189,推文超话,169
190,周迅超话,168
191,电视剧东宫超话,166
192,王子异超话,166
193,味全朱一龙超话,166
194,黄轩超话,165
195,周震南超话,165
196,宋威龙超话,165
197,李沁狼殿下超话,163
198,电视剧三生三世枕上书超话,162
199,步步惊心超话,162
200,IU超话,161
201,我才不要和你做朋友呢超话,161
202,赖冠霖超话,161
203,朱一龙公益超话,161
204,夏目友人帐超话,161
205,致我们甜甜的小美满超话,160
206,张雨剑超话,160
207,薛之谦超话,159
208,朱一龙代言产品消化联盟超话,159
