,uid,history,prob
441,219869178,"天坑鹰猎High, 小别离High, 我们的少年时代High, 我们的乐队High, 中餐厅第三季High, 上古密约High, 中餐厅第二季High, 高能少年团第二季High, 高能少年团第一季High, 超少年密码High",0.8164965809277259
442,217552977,"中餐厅第二季High, 高能少年团第一季High, 全员加速中第一季High, 高能少年团第二季High, 超少年密码High, 中餐厅第三季High, 上古密约High, 我们的少年时代High, 小别离High, 天坑鹰猎High, 青云志High, 解忧杂货店High, 长城TheGreatWallHigh, 老炮儿High, 我们的乐队High",0.8563488385776753
443,220633044,"高能少年团第二季High, 上古密约High, 高能少年团第一季High, 我们的少年时代High, 中餐厅第三季High, 小别离High, 我们的乐队High, 解忧杂货店High, 长城TheGreatWallHigh, 老炮儿High, 天坑鹰猎High",0.8563488385776753
5429,210067935,"复仇者联盟4终局之战AvengersEndgameLow, 三十而已High, 以家人之名High, 雷神ThorHigh, 陈情令国风演唱会Low, 哦我的皇帝陛下第二季Low, 超星星学园Low, 素人特工Low, 哦我的皇帝陛下第一季Low, 我们的歌Low, 斗破苍穹Low, 明星大侦探第五季Low, 捉妖记2Low, 诛仙1诛仙ⅠLow, 庆余年第一季Low, 陈情令Low",0.8125
5430,147519416,"以家人之名High, 我们的歌Low, 明星大侦探第五季Low, 超星星学园Low, 捉妖记2Low, 哦我的皇帝陛下第二季Low, 狼殿下Low, 斗罗大陆Low, 余生请多指教Low, 斗破苍穹Low, 哦我的皇帝陛下第一季Low, 素人特工Low, 诛仙1诛仙ⅠLow, 庆余年第一季Low, 陈情令国风演唱会Low, 陈情令Low",0.8660254037844387
5431,188974898,"以家人之名High, 斗罗大陆Low, 狼殿下Low, 余生请多指教Low, 素人特工Low, 超星星学园Low, 哦我的皇帝陛下第二季Low, 陈情令国风演唱会Low, 哦我的皇帝陛下第一季Low, 诛仙1诛仙ⅠLow, 庆余年第一季Low, 陈情令Low",0.8660254037844387
10434,141773130,"沙海High, 重启之极海听雷Low, 三十而已High, 抵达之谜Low, 风声High, 寻梦环游记CocoHigh, 小娘惹Low, 夏日冲浪店High, 密室大逃脱第二季High, 少年游之一寸相思High, 无证之罪High, 超星星学园High, 白夜追凶High, 诛仙1诛仙ⅠHigh, 龙岭迷窟High, 怪你过分美丽High, 炙热的我们High, 隐秘的角落High, 我们的歌High, 陈情令High, 清平乐Low, 饥饿站台ElhoyoHigh, 幸福触手可及Low, 想见你想見你High, 月上重火Low, 韫色过浓Low, 三叉戟High, 极限挑战第一季High, 我们的乐队Low, 极限挑战第六季Low, 我才不要和你做朋友呢High, 乘风破浪的姐姐High, 我和我的祖国High, 流浪地球High, 风味人间第二季High, 传闻中的陈芊芊High, 疯狂动物城ZootopiaHigh, 让子弹飞High, 龙猫となりのトトロHigh, 千与千寻千と千尋の神隠しHigh, 冰雪奇缘2FrozenIIHigh, 利刃出鞘KnivesOutHigh, 埃博拉浩劫TheHotZoneHigh, 致命女人第一季WhyWomenKillSeason1High, 大话西游之月光宝盒西遊記第壹佰零壹回之月光寶盒High",0.8000000000000002
10435,217670133,"穿越火线High, 重启之极海听雷Low, 星际穿越InterstellarHigh, 沙海High, 抵达之谜Low, 三十而已High, 寻梦环游记CocoHigh, 风声High, 夏日冲浪店High, 小娘惹Low, 无证之罪High, 少年游之一寸相思High, 超星星学园High, 诛仙1诛仙ⅠHigh, 白夜追凶High, 十日游戏High, 怪你过分美丽High, 龙岭迷窟High, 隐秘的角落High, 陈情令High, 我们的歌High, 春潮High, 饥饿站台ElhoyoHigh, 传闻中的陈芊芊High, 韫色过浓Low, 我们的乐队Low, 极限挑战第一季High, 三叉戟High, 乘风破浪的姐姐High, 幸福触手可及Low, 月上重火Low, 大话西游之月光宝盒西遊記第壹佰零壹回之月光寶盒High, 让子弹飞High, 想见你想見你High, 风味人间第二季High, 我和我的祖国High, 利刃出鞘KnivesOutHigh, 千与千寻千と千尋の神隠しHigh, 龙猫となりのトトロHigh, 冰雪奇缘FrozenHigh, 冰雪奇缘2FrozenIIHigh, 误杀High, 天气之子天気の子High, 西虹市首富Medium, 我不是药神High",0.8000000000000002
14676,221481406,"解忧杂货店Low, 天坑鹰猎Low, 749局Low, 热血同行High, 这就是街舞第一季High, 这就是街舞第二季High, 朋友请听好High, 小王子LePetitPrinceHigh, 长安十二时辰High, 少年的你High",0.8
14677,221249184,"天坑鹰猎Low, 大冰小将High, 热血同行High, 这就是街舞第一季High, 这就是街舞第二季High, 朋友请听好High, 小王子LePetitPrinceHigh, 长安十二时辰High, 老炮儿High, 少年的你High",0.8215838362577492
14678,221361371,"解忧杂货店Low, 天坑鹰猎Low, 2019最美表演High, 放开我北鼻第二季High, 大冰小将High, 热血同行High, 这就是街舞第一季High, 这就是街舞第二季High, 朋友请听好High, 小王子LePetitPrinceHigh, 长安十二时辰High, 少年的你High",0.8215838362577492
